"CODIGO_SIGA","CURSO","NÍVEL","INEP"
258,"ABI - ENGENHARIA","GRADUAÇÃO",5000630
18,"ADMINISTRAÇÃO","GRADUAÇÃO",13572
1000,"ADMINISTRAÇÃO -CAA","GRADUAÇÃO",101082
266,"ARQUEOLOGIA","GRADUAÇÃO",117390
67,"ARQUITETURA E URBANISMO","GRADUAÇÃO",13610
238,"ARTES PRÁTICAS","GRADUAÇÃO",0
331,"ARTES VISUAIS","GRADUAÇÃO",23910
389,"ARTES VISUAIS - BACHARELADO","GRADUAÇÃO",1439062
64,"BIBLIOTECONOMIA","GRADUAÇÃO",13609
205,"BIOMEDICINA","GRADUAÇÃO",13597
269,"CINEMA E AUDIOVISUAL","GRADUAÇÃO",117394
45,"CIÊNCIA DA COMPUTAÇÃO - CIN","GRADUAÇÃO",13595
276,"CIÊNCIA POLÍTICA","GRADUAÇÃO",117378
277,"CIÊNCIAS ATUARIAIS","GRADUAÇÃO",117380
49,"CIÊNCIAS BIOLÓGICAS - BACHARELADO","GRADUAÇÃO",44992
1007,"CIÊNCIAS BIOLÓGICAS - CAV","GRADUAÇÃO",101140
50,"CIÊNCIAS BIOLÓGICAS - LICENCIATURA","GRADUAÇÃO",20889
48,"CIÊNCIAS BIOLÓGICAS- ÊNFASE C. AMBIENTAIS","GRADUAÇÃO",58852
324,"CIÊNCIAS BIOLÓGICAS-PARFOR","GRADUAÇÃO",20889
14,"CIÊNCIAS CONTABEIS","GRADUAÇÃO",13573
339,"CIÊNCIAS CONTÁBEIS - EAD","GRADUAÇÃO",1292716
15,"CIÊNCIAS ECONÔMICAS","GRADUAÇÃO",13574
1001,"CIÊNCIAS ECONÔMICAS - CAA","GRADUAÇÃO",101086
6,"CIÊNCIAS SOCIAIS - BACHARELADO","GRADUAÇÃO",13575
7,"CIÊNCIAS SOCIAIS - LICENCIATURA","GRADUAÇÃO",21847
373,"COMUNICAÇÃO SOCIAL - CAA","GRADUAÇÃO",1321439
234,"COOPERAÇÃO INTERNACIONAL","GRADUAÇÃO",0
268,"DANÇA","GRADUAÇÃO",117392
190,"DESIGN","GRADUAÇÃO",80088
1004,"DESIGN - CAA","GRADUAÇÃO",101127
20,"DIREITO","GRADUAÇÃO",13576
59,"EDUCAÇÃO FÍSICA","GRADUAÇÃO",13598
336,"EDUCAÇÃO FÍSICA - BACHARELADO","GRADUAÇÃO",1192307
332,"EDUCAÇÃO FÍSICA - LICENCIATURA - CAV","GRADUAÇÃO",1155122
314,"EDUCAÇÃO FÍSICA-BACHARELADO-CAV","GRADUAÇÃO",5000731
323,"EDUCAÇÃO FÍSICA-PARFOR","GRADUAÇÃO",13598
53,"ENFERMAGEM","GRADUAÇÃO",13599
1006,"ENFERMAGEM - CAV","GRADUAÇÃO",101153
85,"ENGENHARIA BIOMÉDICA","GRADUAÇÃO",58856
39,"ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA","GRADUAÇÃO",13583
34,"ENGENHARIA CIVIL","GRADUAÇÃO",13584
1003,"ENGENHARIA CIVIL - CAA","GRADUAÇÃO",101129
21,"ENGENHARIA DA COMPUTAÇÃO","GRADUAÇÃO",58854
273,"ENGENHARIA DE ALIMENTOS","GRADUAÇÃO",117382
345,"ENGENHARIA DE CONTROLE E AUTOMAÇÃO","GRADUAÇÃO",1192306
271,"ENGENHARIA DE ENERGIA","GRADUAÇÃO",117384
316,"ENGENHARIA DE MATERIAIS","GRADUAÇÃO",1136141
37,"ENGENHARIA DE MINAS","GRADUAÇÃO",13587
44,"ENGENHARIA DE PRODUÇÃO","GRADUAÇÃO",21710
